Date,Open,High,Low,Close,Adj Close,Volume
2016-03-10,102.339996,102.949997,100.910004,102.019997,99.698326,710000
2016-03-11,102.930000,103.900002,102.879997,103.849998,101.486694,644600
2016-03-14,103.559998,104.190002,103.550003,103.919998,101.555107,518800
2016-03-15,103.510002,103.800003,103.279999,103.769997,101.408516,604300
2016-03-16,103.500000,104.730003,103.379997,104.489998,102.112122,642800
2016-03-17,104.360001,105.300003,104.150002,105.000000,102.610512,1147600
2016-03-18,105.370003,105.599998,105.000000,105.430000,103.030739,699700
2016-03-21,104.970001,105.440002,104.879997,105.290001,103.207169,1249400
2016-03-22,104.870003,105.690002,104.639999,105.379997,103.295395,880700
2016-03-23,105.139999,105.239998,104.580002,104.690002,102.619041,1169800
2016-03-24,104.230003,104.720001,104.000000,104.720001,102.648453,509400
2016-03-28,105.019997,105.099998,104.559998,104.800003,102.726875,546500
2016-03-29,104.559998,106.160004,104.500000,106.160004,104.059967,578800
2016-03-30,106.650002,107.050003,106.339996,106.570000,104.461861,646400
2016-03-31,106.519997,106.849998,106.320000,106.449997,104.344231,426000
2016-04-01,105.860001,107.440002,105.669998,107.330002,105.206825,813200
2016-04-04,107.370003,107.550003,106.940002,107.059998,104.942162,539700
2016-04-05,106.160004,106.510002,105.910004,106.080002,103.981552,870300
2016-04-06,106.110001,107.489998,106.110001,107.440002,105.314644,707100
2016-04-07,106.930000,107.070000,105.750000,106.180000,104.079567,513700
2016-04-08,106.889999,107.040001,105.980003,106.320000,104.216797,465300
2016-04-11,106.699997,107.050003,105.790001,105.860001,103.765900,647900
2016-04-12,106.019997,106.919998,105.540001,106.730003,104.618690,439900
2016-04-13,107.349998,107.830002,107.209999,107.790001,105.657722,599300
2016-04-14,107.860001,108.059998,107.570000,107.739998,105.608711,769300
2016-04-15,107.750000,107.809998,107.400002,107.599998,105.471474,566600
2016-04-18,107.360001,108.300003,107.260002,108.250000,106.108620,607500
2016-04-19,108.449997,108.489998,107.589996,108.129997,105.990997,803900
2016-04-20,108.160004,108.550003,107.739998,108.059998,105.922379,671900
2016-04-21,108.230003,108.349998,107.589996,107.790001,105.657722,559300
2016-04-22,107.419998,107.750000,106.849998,107.510002,105.383263,612000
2016-04-25,107.139999,107.400002,106.919998,107.400002,105.275436,689700
2016-04-26,107.559998,107.860001,107.099998,107.389999,105.265625,438000
2016-04-27,106.800003,107.320000,106.379997,107.080002,104.961769,456000
2016-04-28,106.820000,107.639999,105.889999,106.120003,104.020760,516400
2016-04-29,105.919998,106.129997,104.930000,105.610001,103.520836,583200
2016-05-02,105.930000,106.720001,105.750000,106.589996,104.481453,585500
2016-05-03,105.970001,106.169998,105.339996,105.779999,103.687477,727900
2016-05-04,105.129997,105.620003,104.970001,105.239998,103.158157,594500
2016-05-05,105.529999,105.699997,105.019997,105.239998,103.158157,465800
2016-05-06,104.889999,105.690002,104.669998,105.660004,103.569862,1557300
2016-05-09,105.610001,106.430000,105.610001,106.150002,104.050163,408300
2016-05-10,106.519997,107.440002,106.459999,107.410004,105.285233,512000
2016-05-11,107.070000,107.220001,106.139999,106.139999,104.040359,676400
2016-05-12,106.599998,106.730003,105.379997,106.070000,103.971748,475000
2016-05-13,105.910004,106.260002,105.150002,105.339996,103.256172,457600
2016-05-16,105.540001,106.739998,105.379997,106.440002,104.334427,534400
2016-05-17,106.230003,106.459999,105.040001,105.339996,103.256172,676300
2016-05-18,105.040001,105.989998,104.589996,105.320000,103.236580,2654300
2016-05-19,104.739998,105.019997,104.110001,104.820000,102.746475,565300
2016-05-20,105.180000,105.930000,105.180000,105.660004,103.569862,994300
2016-05-23,105.690002,105.959999,105.500000,105.559998,103.471825,401100
2016-05-24,105.989998,107.349998,105.989998,107.190002,105.069588,445500
2016-05-25,107.470001,107.870003,107.389999,107.680000,105.549896,411000
2016-05-26,107.760002,107.980003,107.629997,107.790001,105.657722,367100
2016-05-27,107.839996,108.290001,107.839996,108.279999,106.138031,324300
2016-05-31,108.489998,108.500000,107.839996,108.239998,106.098808,510200
2016-06-01,107.830002,108.459999,107.750000,108.330002,106.187050,423700
2016-06-02,108.089996,108.720001,107.790001,108.709999,106.559525,624000
2016-06-03,108.529999,108.650002,107.699997,108.449997,106.304672,518500
2016-06-06,108.580002,108.980003,108.360001,108.739998,106.588928,437400
2016-06-07,108.790001,109.190002,108.779999,108.820000,106.667336,407100
2016-06-08,108.970001,109.300003,108.809998,109.199997,107.039825,344700
2016-06-09,108.720001,109.150002,108.720001,109.080002,106.922195,356800
2016-06-10,108.199997,108.250000,107.570000,107.879997,105.745949,462200
2016-06-13,107.599998,108.209999,107.110001,107.150002,105.030380,535300
2016-06-14,106.599998,107.070000,106.139999,106.809998,105.013664,421300
2016-06-15,106.980003,107.379997,106.570000,106.709999,104.915337,502300
2016-06-16,106.129997,106.930000,105.480003,106.879997,105.082481,525100
2016-06-17,106.910004,106.910004,105.809998,106.190002,104.404091,481900
2016-06-20,107.260002,107.790001,106.779999,106.860001,105.062820,592300
2016-06-21,107.160004,107.190002,106.739998,107.019997,105.220139,431800
2016-06-22,107.089996,107.570000,106.709999,106.790001,104.994003,3116000
2016-06-23,107.620003,108.089996,107.279999,108.059998,106.242630,479000
2016-06-24,104.470001,106.080002,103.989998,104.199997,102.447548,1022200
2016-06-27,103.379997,103.500000,101.870003,102.320000,100.599182,1777000
2016-06-28,103.370003,104.370003,103.230003,104.339996,102.585197,1206300
2016-06-29,105.209999,106.260002,105.209999,106.089996,104.305771,591800
2016-06-30,106.290001,107.209999,105.959999,107.199997,105.397102,494900
2016-07-01,107.129997,108.019997,107.129997,107.639999,105.829704,422600
2016-07-05,107.239998,107.260002,106.660004,107.120003,105.318459,622200
2016-07-06,106.790001,107.790001,106.540001,107.690002,105.878868,640400
2016-07-07,107.820000,108.139999,107.449997,107.879997,106.065666,437800
